;Scopy version,48fb6a9
;Exported on,Wednesday July 24/07/2019
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
237,-0.003763,0.970548
238,-0.003762,0.967295
239,-0.003761,0.968921
240,-0.00376,0.968921
241,-0.003759,0.970548
242,-0.003758,0.968921
243,-0.003757,0.970548
244,-0.003756,0.968921
245,-0.003755,0.972174
246,-0.003754,0.972174
247,-0.003753,0.972174
248,-0.003752,0.975426
249,-0.003751,0.9738
250,-0.00375,0.9738
251,-0.003749,0.970548
252,-0.003748,0.970548
253,-0.003747,0.970548
254,-0.003746,0.972174
255,-0.003745,0.9738
256,-0.003744,0.972174
257,-0.003743,0.972174
258,-0.003742,0.967295
259,-0.003741,0.970548
260,-0.00374,0.968921
261,-0.003739,0.968921
262,-0.003738,0.970548
263,-0.003737,0.970548
264,-0.003736,0.965669
265,-0.003735,0.968921
266,-0.003734,0.967295
267,-0.003733,0.965669
268,-0.003732,0.965669
269,-0.003731,0.964042
270,-0.00373,0.967295
271,-0.003729,0.965669
272,-0.003728,0.964042
273,-0.003727,0.96079
274,-0.003726,0.96079
275,-0.003725,0.962416
276,-0.003724,0.959163
277,-0.003723,0.959163
278,-0.003722,0.959163
279,-0.003721,0.955911
280,-0.00372,0.954284
281,-0.003719,0.954284
282,-0.003718,0.952658
283,-0.003717,0.952658
284,-0.003716,0.951032
285,-0.003715,0.949406
286,-0.003714,0.946153
287,-0.003713,0.947779
288,-0.003712,0.944527
289,-0.003711,0.944527
290,-0.00371,0.941274
291,-0.003709,0.941274
292,-0.003708,0.938021
293,-0.003707,0.938021
294,-0.003706,0.938021
295,-0.003705,0.934769
296,-0.003704,0.933143
297,-0.003703,0.92989
298,-0.003702,0.92989
299,-0.003701,0.925011
300,-0.0037,0.926637
301,-0.003699,0.923385
302,-0.003698,0.921758
303,-0.003697,0.920132
304,-0.003696,0.918506
305,-0.003695,0.915253
306,-0.003694,0.912001
307,-0.003693,0.912001
308,-0.003692,0.908748
309,-0.003691,0.907122
310,-0.00369,0.905495
311,-0.003689,0.902243
312,-0.003688,0.900617
313,-0.003687,0.895738
314,-0.003686,0.894111
315,-0.003685,0.890859
316,-0.003684,0.890859
317,-0.003683,0.889232
318,-0.003682,0.88598
319,-0.003681,0.882727
320,-0.00368,0.882727
321,-0.003679,0.877848
322,-0.003678,0.874596
323,-0.003677,0.871343
324,-0.003676,0.871343
325,-0.003675,0.868091
326,-0.003674,0.864838
327,-0.003673,0.861585
328,-0.003672,0.858333
329,-0.003671,0.853454
330,-0.00367,0.853454
331,-0.003669,0.848575
332,-0.003668,0.848575
333,-0.003667,0.843696
334,-0.003666,0.840443
335,-0.003665,0.837191
336,-0.003664,0.833938
337,-0.003663,0.830686
338,-0.003662,0.827433
339,-0.003661,0.82418
340,-0.00366,0.820928
341,-0.003659,0.817675
342,-0.003658,0.817675
343,-0.003657,0.812796
344,-0.003656,0.809544
345,-0.003655,0.806291
346,-0.003654,0.801412
347,-0.003653,0.799786
348,-0.003652,0.796533
349,-0.003651,0.791654
350,-0.00365,0.790028
351,-0.003649,0.783523
352,-0.003648,0.78027
